x,y,x2,y2,color
25,250,24,450,same orientation
25,250,25,0,same orientation
72,250,54,450,inversed
72,250,71,0,inversed
12,250,11,450,same orientation
12,250,12,0,same orientation
47,250,46,450,same orientation
47,250,46,0,same orientation
70,250,69,0,same orientation
59,250,67,450,inversed
39,250,38,0,same orientation
39,250,38,450,same orientation
80,250,82,450,inversed
82,250,81,0,same orientation
0,250,0,0,same orientation
28,250,27,450,same orientation
28,250,27,0,same orientation
48,250,49,450,inversed
48,250,47,0,inversed
1,250,0,450,same orientation
1,250,1,0,same orientation
61,250,60,0,same orientation
56,250,55,0,same orientation
54,250,72,450,inversed
34,250,33,450,same orientation
34,250,33,0,same orientation
63,250,63,450,inversed
63,250,62,0,inversed
78,250,77,0,same orientation
85,250,77,450,inversed
87,250,86,0,same orientation
53,250,52,0,same orientation
64,250,63,0,same orientation
31,250,30,450,same orientation
31,250,30,0,same orientation
66,250,60,450,inversed
51,250,75,450,inversed
4,250,3,450,same orientation
4,250,4,0,same orientation
88,250,86,450,inversed
17,250,16,450,same orientation
17,250,17,0,same orientation
20,250,19,450,same orientation
20,250,20,0,same orientation
77,250,50,450,inversed
77,250,76,0,inversed
75,250,74,0,same orientation
42,250,41,0,same orientation
42,250,41,450,same orientation
9,250,8,450,same orientation
9,250,9,0,same orientation
69,250,68,0,same orientation
59,250,58,0,same orientation
10,250,9,450,same orientation
10,250,10,0,same orientation
70,250,56,450,inversed
27,250,26,0,same orientation
27,250,26,450,same orientation
72,250,71,0,same orientation
45,250,44,450,same orientation
45,250,44,0,same orientation
3,250,2,450,same orientation
3,250,3,0,same orientation
54,250,53,0,same orientation
63,250,62,0,same orientation
63,250,63,450,same orientation
61,250,65,450,inversed
36,250,35,450,same orientation
36,250,35,0,same orientation
56,250,70,450,inversed
82,250,80,450,inversed
80,250,79,0,same orientation
48,250,47,0,same orientation
66,250,65,0,same orientation
51,250,50,0,same orientation
6,250,5,450,inversed
6,250,6,0,inversed
53,250,73,450,inversed
64,250,62,450,inversed
33,250,32,450,same orientation
33,250,32,0,same orientation
6,250,5,450,same orientation
6,250,6,0,same orientation
78,250,84,450,inversed
18,250,18,0,same orientation
18,250,17,450,same orientation
87,250,85,450,inversed
69,250,57,450,inversed
88,250,87,0,same orientation
88,250,86,450,same orientation
75,250,52,450,inversed
22,250,21,450,same orientation
22,250,22,0,same orientation
15,250,15,0,same orientation
15,250,14,450,same orientation
40,250,39,450,same orientation
40,250,39,0,same orientation
77,250,76,0,same orientation
84,250,78,450,inversed
86,250,85,0,same orientation
79,250,78,0,same orientation
5,250,5,0,same orientation
5,250,4,450,same orientation
52,250,51,0,same orientation
65,250,64,0,same orientation
67,250,59,450,inversed
30,250,29,0,same orientation
30,250,29,450,same orientation
50,250,47,450,inversed
16,250,15,450,same orientation
16,250,16,0,same orientation
76,250,51,450,inversed
21,250,20,450,same orientation
21,250,21,0,same orientation
74,250,73,0,same orientation
43,250,42,450,same orientation
43,250,42,0,same orientation
89,250,58,0,inversed
68,250,67,0,same orientation
8,250,7,450,same orientation
8,250,8,0,same orientation
73,250,54,450,inversed
24,250,23,450,same orientation
24,250,24,0,same orientation
13,250,12,450,same orientation
13,250,13,0,same orientation
46,250,45,0,same orientation
46,250,45,450,same orientation
71,250,70,0,same orientation
90,250,30,450,inversed
90,250,30,0,inversed
58,250,68,450,inversed
58,250,57,0,inversed
38,250,37,450,same orientation
38,250,37,0,same orientation
29,250,28,0,same orientation
29,250,28,450,same orientation
49,250,48,450,inversed
81,250,81,450,inversed
83,250,82,0,same orientation
60,250,59,0,same orientation
57,250,56,0,same orientation
55,250,71,450,inversed
62,250,64,450,inversed
35,250,34,450,same orientation
35,250,34,0,same orientation
7,250,6,450,same orientation
7,250,7,0,same orientation
67,250,66,0,same orientation
50,250,49,0,same orientation
52,250,74,450,inversed
32,250,31,450,same orientation
32,250,31,0,same orientation
65,250,61,450,inversed
86,250,76,450,inversed
84,250,83,0,same orientation
79,250,83,450,inversed
19,250,18,450,same orientation
19,250,19,0,same orientation
68,250,58,450,inversed
23,250,23,0,same orientation
23,250,22,450,same orientation
74,250,53,450,inversed
14,250,13,450,same orientation
14,250,14,0,same orientation
41,250,40,0,same orientation
41,250,40,450,same orientation
76,250,75,0,same orientation
89,250,68,450,same orientation
90,250,2,450,same orientation
90,250,3,0,same orientation
58,250,57,0,same orientation
11,250,10,450,same orientation
11,250,11,0,same orientation
26,250,25,450,same orientation
26,250,26,0,same orientation
71,250,55,450,inversed
73,250,72,0,same orientation
44,250,43,450,same orientation
44,250,43,0,same orientation
55,250,54,0,same orientation
62,250,61,0,same orientation
0,250,0,0,inversed
37,250,36,0,same orientation
37,250,36,450,same orientation
60,250,66,450,inversed
57,250,69,450,inversed
2,250,1,450,same orientation
2,250,2,0,same orientation
49,250,48,0,same orientation
83,250,79,450,inversed
81,250,80,0,same orientation
